person name;industry;company name;stock exchange;ticker;date range;description of link
Elon Musk;Electric Vehicles;Tesla;NASDAQ;TSLA;04-2004 - ;CEO and co-founder
Elon Musk;EV Charging;ChargePoint;NYSE;CHPT;01-2021 - ;Publicly discusses charging infrastructure
Elon Musk;EV Charging;EVgo;NASDAQ;EVGO;01-2021 - ;Advocacy for widespread EV adoption
Elon Musk;Electric Vehicles;Nio;NYSE;NIO;07-2021 - ;References to competing EV startups
Elon Musk;Electric Vehicles;Rivian;NASDAQ;RIVN;07-2021 - ;Mentions or commentary on emerging EV makers
Joe Biden;Defense;Lockheed Martin;NYSE;LMT;01-2021 - ;Administration influences defense contracts
Joe Biden;Pharmaceuticals;Pfizer;NYSE;PFE;01-2021 - ;Federal support for COVID-19 vaccines
Joe Biden;Healthcare;Johnson & Johnson;NYSE;JNJ;01-2021 - ;Same as above, policy ties
Joe Biden;Heavy Equipment;Caterpillar;NYSE;CAT;01-2021 - ;Infrastructure spending priorities
Joe Biden;Energy;ExxonMobil;NYSE;XOM;01-2021 - ;Energy policy and negotiations
Jung Musk;Electric Trucks;Nikola;NASDAQ;NKLA;01-2020 - ;Tied by parody or confusion with EV sector
Jung Musk;Delivery EVs;Workhorse Group;NASDAQ;WKHS;01-2021 - ;Related to last-mile EV discussions
Jung Musk;Electric Vehicles;Lucid Group;NASDAQ;LCID;01-2021 - ;Another up-and-coming EV maker
Jung Musk;Electric Vans;Canoo;NASDAQ;GOEV;01-2021 - ;Focused on new EV technology
Jung Musk;Hydrogen Vehicles;Hyzon Motors;NASDAQ;HYZN;01-2021 - ;Commentary on hydrogen-based mobility
Marc Andreessen;Social Media/Tech;Meta Platforms;NASDAQ;META;01-2012 - ;Early investor/advisor roles
Marc Andreessen;Cryptocurrency;Coinbase;NASDAQ;COIN;01-2013 - ;a16z invests heavily in crypto
Marc Andreessen;Gaming/Metaverse;Roblox;NYSE;RBLX;01-2020 - ;a16z involvement in metaverse platforms
Marc Andreessen;Travel/Tech;Airbnb;NASDAQ;ABNB;04-2011 - ;Early private funding involvement
Marc Andreessen;Social Media/Tech;Pinterest;NYSE;PINS;01-2012 - ;Known a16z investment
Mr. Tweet;Social Media;Meta Platforms;NASDAQ;META;01-2022 - ;Often tweets about social media products
Mr. Tweet;Social Media;Snap;NYSE;SNAP;01-2022 - ;Commentary and memes about ephemeral content
Mr. Tweet;Social Media;Pinterest;NYSE;PINS;01-2022 - ;Tweet storms analyzing social platforms
Mr. Tweet;Technology;Alphabet (Google);NASDAQ;GOOGL;01-2022 - ;Known to discuss big tech's role
Mr. Tweet;Online Dating & Social;Match Group;NASDAQ;MTCH;01-2022 - ;Critiques or insights into social apps
Nassim Nicholas Taleb;Derivatives & Risk;CME Group;NASDAQ;CME;01-2010 - ;Focus on tail risk hedging
Nassim Nicholas Taleb;Derivatives & Risk;CBOE Global Markets;BATS;CBOE;01-2010 - ;Options market analysis
Nassim Nicholas Taleb;Derivatives & Risk;Intercontinental Exchange;NYSE;ICE;01-2010 - ;Exchanges & risk commentary
Nassim Nicholas Taleb;Banking;Bank of America;NYSE;BAC;01-2010 - ;Critic of certain banking practices
Nassim Nicholas Taleb;Banking;JPMorgan Chase;NYSE;JPM;01-2010 - ;Commentary on financial system fragility
Naughtius Maximus;Gov't Services;Maximus Inc;NYSE;MMS;01-2015 - ;Shares name, comedic link to govt services
Naughtius Maximus;Gov't Consulting;Booz Allen Hamilton;NYSE;BAH;01-2018 - ;Commentary on government tech
Naughtius Maximus;Gov't IT;Leidos Holdings;NYSE;LDOS;01-2019 - ;Involved in or critiques public sector solutions
Naughtius Maximus;Defense;Lockheed Martin;NYSE;LMT;01-2019 - ;Government contracting references
Naughtius Maximus;Defense;Northrop Grumman;NYSE;NOC;01-2019 - ;Same as above
Paul Krugman;E-Commerce;Amazon;NASDAQ;AMZN;01-2015 - ;Economic commentary on retail & tech
Paul Krugman;Retail;Walmart;NYSE;WMT;01-2015 - ;Op-eds on wages & big retail
Paul Krugman;Technology;Alphabet (Google);NASDAQ;GOOG;01-2015 - ;Critiques & analysis of big tech
Paul Krugman;Technology;Microsoft;NASDAQ;MSFT;01-2015 - ;Commentary on tech monopolies
Paul Krugman;Technology;Apple;NASDAQ;AAPL;01-2015 - ;Observations on consumer tech markets
Richard Branson;Space Tourism;Virgin Galactic;NYSE;SPCE;10-2019 - ;Founder and major shareholder
Richard Branson;Airlines;Delta Air Lines;NYSE;DAL;01-2020 - 12-2021;Partnerships & travel industry interest
Richard Branson;Airlines;American Airlines;NASDAQ;AAL;01-2020 - 12-2021;Similar airline collaborations
Richard Branson;Aerospace;Boeing;NYSE;BA;01-2021 - ;Partnerships in space projects
Richard Branson;Cruise & Tourism;Carnival;NYSE;CCL;01-2021 - ;Discusses broader travel sector
SBF;Trading & Crypto;Robinhood Markets;NASDAQ;HOOD;05-2021 - ;FTX-related stake disclosures
SBF;Cryptocurrency;Coinbase;NASDAQ;COIN;10-2020 - ;Public commentary on crypto exchanges
SBF;Crypto Mining;Marathon Digital Holdings;NASDAQ;MARA;01-2021 - 12-2022;Investments & crypto mining
SBF;Crypto-Exposed;MicroStrategy;NASDAQ;MSTR;01-2021 - 12-2022;Ties to major BTC holders
SBF;Crypto-Focused Bank;Silvergate Capital;NYSE;SI;08-2022 - 03-2023;Banking relationships with FTX
Sphere-Earthers Rūl;Entertainment Venues;Sphere Entertainment Co;NYSE;SPHR;01-2023 - ;Possibly referencing the new MSG Sphere in Las Vegas
Sphere-Earthers Rūl;Entertainment Venues;Madison Square Garden Entertainment;NYSE;MSGE;01-2023 - ;Sphere-themed tie-ins
Sphere-Earthers Rūl;Live Events;Live Nation Entertainment;NYSE;LYV;01-2023 - ;Potential commentary on large-scale events
Sphere-Earthers Rūl;Media & Entertainment;The Walt Disney Company;NYSE;DIS;01-2023 - ;Ties to global entertainment
Sphere-Earthers Rūl;Media & Entertainment;Warner Bros. Discovery;NASDAQ;WBD;01-2023 - ;Involvement in or commentary on media content
Vivek Ramaswamy;Biotech;Roivant Sciences;NASDAQ;ROIV;05-2014 - ;Founder & former CEO
Vivek Ramaswamy;Biotech;Moderna;NASDAQ;MRNA;01-2020 - 12-2021;Discussions around mRNA vaccines
Vivek Ramaswamy;Gene Editing;CRISPR Therapeutics;NASDAQ;CRSP;01-2021 - ;Interest in cutting-edge biotech
Vivek Ramaswamy;Biotech;BioNTech;NASDAQ;BNTX;01-2021 - 12-2021;Commentary on vaccine platforms
Vivek Ramaswamy;Biotech;Novavax;NASDAQ;NVAX;06-2021 - 12-2021;Publicly discussing COVID-19 vaccine development
jack;Payments & FinTech;Block (Square);NYSE;SQ;10-2015 - ;Co-founder & former CEO
jack;Payments & FinTech;PayPal;NASDAQ;PYPL;01-2021 - ;Frequent references to fintech solutions
jack;Cryptocurrency;Coinbase;NASDAQ;COIN;07-2020 - ;Big advocate of Bitcoin & crypto
jack;E-Commerce/FinTech;Shopify;NYSE;SHOP;01-2022 - ;Partnerships & payment integrations
jack;BNPL/FinTech;Affirm Holdings;NASDAQ;AFRM;01-2022 - ;BNPL expansions & commentary
